region,PROVINCE,BEINGBULLIED,PERCOMP,PERCOOP,GFOFAIL,EUDMO,SWBP,BELONG,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,SC001Q01TA,SC013Q01TA,SC016Q01TA,SC016Q02TA,SC016Q04TA,SC017Q01NA,SC017Q03NA,SC161Q01SA
Region I,Pangasinan,-0.7823,1.1085,-0.5107,-1.2792,-0.523,-1.8489,-0.6836,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,2.07,-0.6142,0.6012,-0.4342,0.2621,0.5012,0.4909,2.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,2.1776,-0.6142,-0.9391,-0.2006,-0.1652,0.1869,-0.1596,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,1.2618,2.0378,1.6762,1.3423,1.7411,-0.5928,-0.9879,4.0,4.0,4.0,4.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",97.0,1.0,1.0,Not at all,To some extent,Not checked
Region I,Pangasinan,2.07,0.202,-0.9391,0.4637,0.2621,-0.5928,-0.6659,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,1.0,1.0,Very little,Not at all,Not checked
Region I,Pangasinan,1.5436,-0.2309,-0.1855,-0.687,0.2621,-0.5928,-0.3184,2.0,2.0,3.0,2.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,1.1625,-0.043,0.6012,0.4637,0.2621,1.2386,-1.0331,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",73.0,0.0,2.0,A lot,To some extent,Not checked
Region I,Pangasinan,,0.2865,,0.8207,1.7411,-0.5928,-0.1843,,,,,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,1.0,1.0,Very little,Not at all,Not checked
Region I,Pangasinan,,-0.3712,,-0.2006,-0.4276,0.7301,-0.9879,,,,,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",94.0,5.0,0.0,To some extent,To some extent,Not checked
Region I,Pangasinan,-0.7823,-0.1532,-0.9391,0.4637,,-1.1176,-1.1224,4.0,2.0,4.0,4.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,,0.6912,1.6762,1.3423,1.1963,1.2386,-1.3268,3.0,3.0,3.0,3.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",97.0,1.0,1.0,Not at all,To some extent,Not checked
Region I,Pangasinan,1.8633,2.0378,1.6762,0.855,1.7411,0.7301,-0.5878,4.0,4.0,4.0,4.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",97.0,1.0,1.0,Not at all,To some extent,Not checked
Region I,Pangasinan,1.1928,0.6912,1.1116,0.4637,0.9269,1.2386,-0.0683,2.0,2.0,4.0,4.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",97.0,1.0,1.0,Not at all,To some extent,Not checked
Region I,Pangasinan,0.7703,-0.8402,-1.1062,-0.7985,0.5454,-1.6755,-0.5675,3.0,1.0,2.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,2.4601,2.0378,1.206,0.8207,1.348,1.2386,2.7249,4.0,3.0,1.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",73.0,0.0,2.0,A lot,To some extent,Not checked
Region I,Pangasinan,1.4454,0.0866,-0.4213,0.4637,0.2621,0.1869,-0.672,3.0,3.0,1.0,,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,0.8233,-1.1126,-0.9391,-0.3288,0.2621,-1.3186,-1.0011,1.0,3.0,3.0,3.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",97.0,1.0,1.0,Not at all,To some extent,Not checked
Region I,Pangasinan,1.7669,-1.4753,-0.1855,0.4637,0.2621,-0.5928,-0.0633,3.0,3.0,3.0,3.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",97.0,1.0,1.0,Not at all,To some extent,Not checked
Region I,Pangasinan,1.5699,-0.6142,0.6012,0.4637,0.2621,1.2386,0.6818,3.0,3.0,3.0,3.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",97.0,1.0,1.0,Not at all,To some extent,Not checked
Region I,Pangasinan,1.2618,0.202,1.0891,1.3423,0.8126,1.2386,0.0928,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",94.0,5.0,0.0,To some extent,To some extent,Not checked
Region I,Pangasinan,2.896,0.2865,0.6012,0.4637,0.2621,-0.5928,-0.3184,3.0,3.0,4.0,4.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",97.0,1.0,1.0,Not at all,To some extent,Not checked
Region I,Pangasinan,1.8016,-0.1532,0.6012,-0.3799,0.2621,0.1869,-0.5707,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,1.5699,0.8711,0.6894,0.0208,0.2621,1.2386,-0.1642,1.0,3.0,3.0,2.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",94.0,5.0,0.0,To some extent,To some extent,Not checked
Region I,Pangasinan,,0.0866,0.6012,0.052,-0.3121,0.5012,-0.3184,3.0,3.0,,4.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,1.0,1.0,Very little,Not at all,Not checked
Region I,Pangasinan,1.5436,0.6912,0.6012,0.4637,0.2621,1.2386,-0.445,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,2.0604,2.0378,-1.7176,1.0671,1.7411,1.2386,0.6862,1.0,4.0,1.0,4.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",94.0,5.0,0.0,To some extent,To some extent,Not checked
Region I,Pangasinan,-0.7823,-0.6142,0.6012,0.4637,1.7411,1.2386,1.4685,4.0,4.0,4.0,4.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,1.0,1.0,Very little,Not at all,Not checked
Region I,Pangasinan,1.5082,0.2865,-0.4213,0.3335,0.9759,0.7301,-0.3632,3.0,2.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",94.0,5.0,0.0,To some extent,To some extent,Not checked
Region I,Pangasinan,2.4242,-0.6142,-0.1855,1.0671,0.5454,-0.5928,-0.3184,4.0,3.0,4.0,4.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",94.0,5.0,0.0,To some extent,To some extent,Not checked
Region I,Pangasinan,-0.7823,0.0866,0.6012,0.052,0.2621,1.2386,-0.0633,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,1.0,1.0,Very little,Not at all,Not checked
Region I,Pangasinan,,0.0866,-0.3047,-0.3799,0.2621,0.7301,-0.6464,2.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,2.1379,,-0.4213,-0.3799,0.2621,1.2386,0.9423,3.0,3.0,3.0,3.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",97.0,1.0,1.0,Not at all,To some extent,Not checked
Region I,Pangasinan,-0.7823,-0.8402,1.1116,0.8207,0.2621,0.7301,-0.7814,4.0,4.0,2.0,2.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",73.0,0.0,2.0,A lot,To some extent,Not checked
Region I,Pangasinan,1.4721,0.6912,0.6012,-0.2006,1.7411,-0.5928,0.2929,4.0,4.0,3.0,4.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",94.0,5.0,0.0,To some extent,To some extent,Not checked
Region I,Pangasinan,0.2308,0.6912,-2.1428,-1.8939,-1.2188,,-1.2605,1.0,1.0,1.0,1.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,2.4601,0.0866,1.6762,1.8905,1.1963,-0.5928,0.5251,4.0,4.0,4.0,4.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,1.0,1.0,Very little,Not at all,Not checked
Region I,Pangasinan,0.1462,0.202,-0.9391,-0.13,0.2621,1.2386,-0.4509,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,1.1625,2.0378,1.6762,-0.4342,-2.1464,0.6502,0.6862,3.0,3.0,4.0,4.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",94.0,5.0,0.0,To some extent,To some extent,Not checked
Region I,Pangasinan,0.8233,2.0378,0.9995,1.0671,1.7411,0.1038,0.2159,4.0,3.0,4.0,4.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",94.0,5.0,0.0,To some extent,To some extent,Not checked
Region I,Pangasinan,1.1625,-0.2309,0.6012,0.1097,0.2621,1.2386,2.7249,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,0.7294,-1.2276,-1.8317,0.4637,0.2621,0.5012,-1.0523,3.0,2.0,2.0,2.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,2.07,-0.6142,-0.9391,1.1422,0.2621,-0.5928,-0.0358,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,0.2907,-0.6142,-0.9391,-1.059,0.2621,1.2386,-0.0435,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,1.5082,-0.8402,-0.4213,1.1422,-0.1652,-0.1064,-1.1396,3.0,2.0,3.0,4.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",97.0,1.0,1.0,Not at all,To some extent,Not checked
Region I,Pangasinan,1.1928,0.6912,0.6012,0.4637,0.2621,1.2386,-0.9879,3.0,3.0,3.0,3.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",97.0,1.0,1.0,Not at all,To some extent,Not checked
Region I,Pangasinan,0.7703,-0.2309,-0.9391,0.4637,0.2621,-0.5928,-0.9351,2.0,3.0,,3.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",97.0,1.0,1.0,Not at all,To some extent,Not checked
Region I,Pangasinan,2.07,1.0326,0.9747,-0.687,0.8126,0.7301,0.1935,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,1.5082,0.8147,-0.1855,0.8794,0.2621,0.7301,-0.2098,2.0,4.0,4.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",94.0,5.0,0.0,To some extent,To some extent,Not checked
Region I,Pangasinan,1.5436,-0.2309,-1.4801,-0.687,0.2621,-0.5928,-0.445,2.0,2.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,2.1776,-0.6142,,-0.3799,-0.267,-1.3186,-0.9747,3.0,2.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,2.4601,0.0866,0.6012,0.4637,-0.1652,0.1869,-0.2927,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,2.1776,-0.1532,-0.4213,-0.2006,0.9269,1.2386,0.0348,2.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,1.0,1.0,Very little,Not at all,Not checked
Region I,Pangasinan,1.5082,-0.1532,-0.5107,-0.5722,-2.1464,0.5012,-0.0633,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,1.0,1.0,Very little,Not at all,Not checked
Region I,Pangasinan,2.9705,-0.2309,0.6012,-1.1597,0.2621,0.6502,-0.3558,3.0,3.0,4.0,4.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,3.8591,0.6912,0.6012,-0.2006,0.2621,1.2386,-0.9879,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",73.0,0.0,2.0,A lot,To some extent,Not checked
Region I,Pangasinan,2.1776,-0.6142,-0.9391,-0.687,0.2621,1.2386,-0.3184,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",94.0,5.0,0.0,To some extent,To some extent,Not checked
Region I,Pangasinan,1.1625,-0.2309,0.6012,0.4637,0.2621,0.7301,-0.5878,2.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,1.4721,,0.6012,1.8905,1.1963,1.2386,-1.2834,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,2.4601,-0.1532,-0.5358,0.8207,-0.267,-0.3236,-0.1562,2.0,3.0,2.0,2.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,2.1379,0.6912,0.6012,0.4637,0.2621,,-0.5665,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,0.8233,-0.6142,,0.4637,0.2621,0.1869,-0.3184,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",94.0,5.0,0.0,To some extent,To some extent,Not checked
Region I,Pangasinan,0.7703,0.2865,0.6012,-0.13,0.2621,1.2386,-0.3184,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,1.0,1.0,Very little,Not at all,Not checked
Region I,Pangasinan,0.2907,0.0866,-0.6557,-0.9598,-0.8095,0.7301,-1.1819,1.0,,3.0,2.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,1.1928,0.444,-1.6004,-0.13,0.2621,-1.4539,-0.8937,3.0,2.0,4.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,1.0,1.0,Very little,Not at all,Not checked
Region I,Pangasinan,,-0.4686,-0.8357,0.8207,-0.9278,1.2386,-0.7469,1.0,3.0,2.0,,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",73.0,0.0,2.0,A lot,To some extent,Not checked
Region I,Pangasinan,2.0604,0.6912,0.9995,1.0671,1.1963,1.2386,0.1589,4.0,4.0,3.0,4.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,1.0,1.0,Very little,Not at all,Not checked
Region I,Pangasinan,2.07,-0.6142,-0.4213,1.4083,0.9759,-0.5928,-0.6464,1.0,3.0,2.0,1.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,1.0,1.0,Very little,Not at all,Not checked
Region I,Pangasinan,-0.7823,0.8711,-1.7176,0.4637,-0.3121,1.2386,-0.224,1.0,2.0,1.0,1.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",97.0,1.0,1.0,Not at all,To some extent,Not checked
Region I,Pangasinan,,0.4817,-1.1062,0.9109,1.7411,-1.8489,-0.0278,2.0,3.0,3.0,2.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,2.1776,0.6912,0.6012,0.4637,0.2621,,0.9517,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",73.0,0.0,2.0,A lot,To some extent,Not checked
Region I,Pangasinan,2.0604,0.6912,0.6012,0.1097,-2.1464,1.2386,1.4685,4.0,4.0,4.0,4.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,1.1625,0.6912,-0.8357,-0.3799,-0.3121,-0.5928,-1.0013,1.0,2.0,1.0,2.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,0.2308,-1.4753,-0.6557,-0.9295,-1.2631,1.2386,-1.1382,1.0,2.0,3.0,1.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",73.0,0.0,2.0,A lot,To some extent,Not checked
Region I,Pangasinan,2.896,-0.6142,-0.9391,0.052,1.7411,1.2386,-0.5707,3.0,3.0,3.0,3.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",97.0,1.0,1.0,Not at all,To some extent,Not checked
Region I,Pangasinan,3.8591,1.3521,1.6762,1.8905,1.1963,-0.5928,-0.9643,,4.0,4.0,4.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,1.2618,0.552,0.6012,0.4637,1.7411,0.6502,0.2929,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,1.8279,-0.1532,0.6012,0.8207,0.2621,-0.5928,-0.4509,3.0,4.0,3.0,4.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",94.0,5.0,0.0,To some extent,To some extent,Not checked
Region I,Pangasinan,-0.7823,-0.6142,-0.9391,-1.4242,0.2621,1.2386,2.7249,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,1.4812,0.6912,0.6012,0.4637,0.2621,0.1038,-0.9879,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",95.0,0.0,0.0,Very little,To some extent,Not checked
Region I,Pangasinan,0.8233,-0.6142,-0.9391,0.4637,0.2621,-0.0214,-0.445,2.0,2.0,2.0,2.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,2.4122,0.6912,-0.1855,-0.7592,0.2621,1.2386,-0.3184,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",94.0,5.0,0.0,To some extent,To some extent,Not checked
Region I,Pangasinan,1.1928,0.6912,-1.807,-1.4242,-0.8645,-1.0362,-0.3353,4.0,3.0,3.0,2.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",73.0,0.0,2.0,A lot,To some extent,Not checked
Region I,Pangasinan,1.1625,-0.6142,-0.9391,-1.8939,-2.1464,-0.5928,-1.391,1.0,1.0,1.0,1.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",97.0,1.0,1.0,Not at all,To some extent,Not checked
Region I,Pangasinan,2.4242,1.2186,1.6762,1.1422,1.348,0.5012,-0.5878,3.0,3.0,4.0,4.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",97.0,1.0,1.0,Not at all,To some extent,Not checked
Region I,Pangasinan,1.203,0.027,-0.6557,0.0208,-0.8095,,-0.6992,1.0,2.0,3.0,4.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",73.0,0.0,2.0,A lot,To some extent,Not checked
Region I,Pangasinan,-0.7823,-0.6142,-0.9391,-0.3799,-0.267,-0.5928,-0.3184,2.0,3.0,2.0,2.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,1.4093,0.6912,1.6762,-0.0288,0.8126,1.2386,-2.0711,4.0,4.0,4.0,4.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",73.0,0.0,2.0,A lot,To some extent,Not checked
Region I,Pangasinan,1.2327,-1.0299,-1.3047,0.0208,0.9269,-0.5928,-0.2179,2.0,1.0,1.0,3.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",97.0,1.0,1.0,Not at all,To some extent,Not checked
Region I,Pangasinan,1.8016,0.444,1.1116,-1.1597,-1.2188,-1.8489,-1.2614,1.0,2.0,1.0,2.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,1.1211,0.6912,-0.4213,-1.1597,-0.3121,-1.69,-0.372,1.0,3.0,2.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",73.0,0.0,2.0,A lot,To some extent,Not checked
Region I,Pangasinan,2.1776,2.0378,1.6762,0.4637,1.7411,,0.2929,3.0,4.0,4.0,4.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,1.0,1.0,Very little,Not at all,Not checked
Region I,Pangasinan,1.7669,-0.6142,-0.9391,-0.687,-0.523,,-0.3184,2.0,3.0,3.0,2.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,1.7926,-0.043,0.9747,,0.8126,-1.1176,0.3581,3.0,3.0,4.0,3.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",94.0,5.0,0.0,To some extent,To some extent,Not checked
Region I,Pangasinan,0.7703,0.2865,-0.1855,-0.3799,1.7411,1.2386,-0.0633,3.0,3.0,4.0,4.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",94.0,5.0,0.0,To some extent,To some extent,Not checked
Region I,Pangasinan,1.8633,-0.6142,-0.9391,-0.6133,0.2621,0.7301,-0.3184,3.0,2.0,3.0,2.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,1.0,1.0,Very little,Not at all,Not checked
Region I,Pangasinan,1.8633,-0.6142,1.2992,0.4637,0.2621,1.2386,-0.3184,4.0,4.0,4.0,4.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",80.0,10.0,5.0,Not at all,Not at all,Not checked
Region I,Pangasinan,1.4721,0.6912,-0.9391,0.4637,1.1963,1.2386,-0.5552,4.0,4.0,4.0,4.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,1.0,1.0,Very little,Not at all,Not checked
Region I,Pangasinan,0.8615,0.6912,0.6012,1.8905,1.1963,1.2386,0.3581,1.0,2.0,3.0,2.0,A city (100 000 to about 1 000 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",94.0,5.0,0.0,To some extent,To some extent,Not checked
Region I,Pangasinan,1.1625,0.6912,0.6012,0.4637,0.2621,0.1869,-0.9879,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,1.0,1.0,Very little,Not at all,Not checked
Region II,Cagayan,2.07,0.9011,0.6012,0.3335,0.9269,-1.0127,-0.9879,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",75.0,20.0,0.0,To some extent,Not at all,Not checked
Region II,Cagayan,1.1318,0.6912,0.6012,-0.4342,0.2621,0.6502,-0.9713,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",75.0,20.0,0.0,To some extent,Not at all,Not checked
Region II,Cagayan,1.8633,0.6912,0.6012,0.4637,0.2621,1.2386,0.4909,3.0,3.0,3.0,3.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",60.0,10.0,0.0,Not at all,Very little,Not checked
Region II,Cagayan,1.203,-0.6142,-0.3047,0.4637,0.2621,1.2386,-0.8273,3.0,2.0,3.0,2.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",75.0,20.0,0.0,To some extent,Not at all,Not checked
Region II,Cagayan,0.2907,2.0378,0.6012,0.052,1.7411,1.2386,0.0834,3.0,3.0,3.0,3.0,A small town (3 000 to about 15 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",60.0,10.0,0.0,Not at all,Very little,Not checked
Region II,Cagayan,1.7405,0.2865,0.6012,-0.2006,0.2621,1.2386,-0.6869,3.0,2.0,2.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",75.0,20.0,0.0,To some extent,Not at all,Not checked
